index,Date,Price,Open,High,Low,Volume,Chg%,NIFTY
92,07-May-20,75.794,76.099,76.152,75.78,0.48K,-0.41%,9136.85
93,08-May-20,75.535,75.611,75.665,75.285,3.32K,-0.34%,8823.25
94,11-May-20,75.888,75.561,75.948,75.476,5.78K,0.47%,8879.10
95,12-May-20,75.062,75.971,75.993,75.049,4.05K,-1.09%,9066.55
96,13-May-20,75.365,75.278,75.51,75.045,3.71K,0.40%,9106.25
97,14-May-20,75.495,75.454,75.712,75.335,4.38K,0.17%,9039.25
98,15-May-20,75.83,75.521,75.95,75.416,3.56K,0.44%,9029.05
99,18-May-20,75.7,75.838,76.07,75.639,3.18K,-0.17%,9314.95
100,19-May-20,75.645,75.605,75.795,75.552,3.77K,-0.07%,9490.10
101,20-May-20,75.555,75.705,75.865,75.453,4.51K,-0.12%,9580.30
102,21-May-20,75.62,75.54,75.833,75.386,3.45K,0.09%,9826.15
103,22-May-20,75.95,75.663,76.018,75.633,4.41K,0.44%,9979.10
104,25-May-20,75.887,75.951,76.11,75.855,0.31K,-0.08%,10061.55
105,26-May-20,75.459,75.868,75.88,75.412,1.83K,-0.56%,10029.10
106,27-May-20,75.92,75.565,75.988,75.538,4.51K,0.61%,10142.15
107,28-May-20,75.66,75.812,75.91,75.632,5.41K,-0.34%,10167.45
108,29-May-20,75.605,75.705,75.755,75.448,4.31K,-0.07%,10046.65
109,01-Jun-20,75.505,75.473,75.773,75.275,5.28K,-0.13%,10116.15
110,02-Jun-20,75.1,75.553,75.628,74.97,6.13K,-0.54%,9902.00
111,03-Jun-20,75.325,75.063,75.555,75.02,5.41K,0.30%,9972.90
112,04-Jun-20,75.459,75.373,75.66,75.355,4.88K,0.18%,9813.70
113,05-Jun-20,75.56,75.432,75.725,75.325,5.18K,0.13%,9914.00
114,08-Jun-20,75.4,75.578,75.685,75.4,5.43K,-0.21%,9881.15
115,09-Jun-20,75.505,75.458,75.702,75.423,6.94K,0.14%,10091.65
116,10-Jun-20,75.635,75.532,75.676,75.419,5.34K,0.17%,10244.40
117,11-Jun-20,75.971,75.672,75.971,75.579,5.78K,0.44%,10311.20
118,12-Jun-20,76.05,75.992,76.26,75.772,7.54K,0.10%,10471.00
119,15-Jun-20,75.979,76.073,76.19,75.936,6.95K,-0.09%,10305.30
120,16-Jun-20,76.25,75.865,76.311,75.78,7.75K,0.36%,10288.90
121,17-Jun-20,76.29,76.268,76.37,76.082,7.24K,0.05%,10383.00
122,18-Jun-20,76.4,76.263,76.4,76.046,7.12K,0.14%,10312.40
123,19-Jun-20,76.26,76.349,76.373,76.093,6.08K,-0.18%,10302.10
124,22-Jun-20,75.79,76.268,76.303,75.723,6.51K,-0.62%,10430.05
125,23-Jun-20,75.503,75.802,75.916,75.455,6.08K,-0.38%,10551.70
126,24-Jun-20,75.665,75.486,75.78,75.486,6.66K,0.21%,10607.35
127,25-Jun-20,75.587,75.717,75.782,75.503,5.96K,-0.10%,10763.65
128,26-Jun-20,75.62,75.58,75.688,75.435,4.43K,0.04%,10799.65
129,29-Jun-20,75.51,75.628,75.66,75.458,5.43K,-0.15%,10705.75
130,30-Jun-20,75.545,75.523,75.628,75.425,5.84K,0.05%,10813.45
131,01-Jul-20,75.49,75.51,75.629,75.466,4.35K,-0.07%,10768.05
132,02-Jul-20,74.75,75.46,75.54,74.646,5.40K,-0.98%,10802.70
133,03-Jul-20,74.636,74.597,75.027,74.567,3.91K,-0.15%,10607.35
134,06-Jul-20,74.635,74.639,74.83,74.485,6.10K,0.00%,10618.20
135,07-Jul-20,74.81,74.645,74.979,74.635,5.59K,0.23%,10739.95
